"unit","genotype","treatment","Groups","digital_Biomass","Height","M.Height","leaf_angle","LA (Leaf Area)","LAI (Leaf Area Index)","LAP (Leaf Area Projection)","LIc (Leaf Inclination)","LPD (Light Penetration Depth)","Biomass","Shoots","Nr_ears","Weight_ear","TKW","d13C","CID","iWUE"
"210","BMW_2321","control","Low",15405421.8461538,461.124051282051,529.061871794872,33.4827179487179,29047.1174358974,0.156666666666667,13644.4461538462,1.82946974358974,315.038512820513,9.38,7,7,10.42,31.1,-33.41,25.609316484275,15.9611797368749
"211","BMW_2352","control","Low",21050989.1282051,548.497051282051,638.286230769231,33.8684615384615,31682.5276923077,0.170794871794872,14004.3961538462,1.8101258974359,403.106179487179,12.62,8,8,9.16,30.2,-33.59,25.8003427329346,13.7687295820831
"213","BMW_2297","control","Low",18244377.5128205,441.305435897436,529.009282051282,33.3797692307692,34706.3912820513,0.187102564102564,15784.7428205128,1.82366051282051,297.565948717949,13.98,14,14,13.69,23.6,-33.875,26.1029465343877,10.2956793809117
"216","BMW_2297","drought","Low",9003959.5,372.993075,443.31965,33.559175,22608.90425,0.121875,10892.25825,1.81712125,219.60775,4.87,6,6,3.43,22.07,-29,20.9512968285637,69.4222929966684
"218","BMW_2321","drought","Low",8835318.525,415.27305,511.121725,33.554975,19984.542,0.1078,9853.63625,1.81849925,296.908775,4.93,5,3,3.8,22.2,-29.235,21.1984457830014,66.5857102379347
"221","BMW_2007","control","High",23457744.875,554.4563,646.443025,33.189225,35492.75925,0.1913,15150.46475,1.843894,409.197275,8.87,11,11,11.27,36.7,-32.785,24.9465829422986,23.5675179594329
"225","BMW_2364","drought","High",9346943.5,383.25415,508.3853,33.59265,20983.4505,0.113075,9949.29675,1.82086775,283.0655,7.46,3,3,1.66,26.56,-28.965,20.9144976448175,69.8446452999079
"226","BMW_2007","control","High",23283940.875,555.574775,623.085575,33.209325,34562.5725,0.18625,14971.918,1.8449565,406.456225,12.35,10,8,10.89,35.6,-33.135,25.317608167154,19.309180074595
"230","BMW_2007","control","High",16731810.525,506.89295,597.487,34.368,27696.349,0.14935,12830.49725,1.79019475,366.9393,9.04,7,7,9.63,33.7,-33.615,25.826879784491,13.4641580208408
"231","BMW_2496","drought","High",13540391.5384615,530.591564102564,630.304333333333,32.3634871794872,21958.2938461538,0.118384615384615,9841.57564102564,1.88794230769231,388.375897435897,5.63,4,4,3.07,16.55,-29.175,21.1353325476119,67.3100746835015
"233","BMW_2095","drought","Low",7260837.07692308,355.034743589744,426.952717948718,32.1535641025641,18749.1441025641,0.101076923076923,8870.15076923077,1.89051282051282,230.006820512821,3.52,4,4,3.88,27.93,-30.14,22.1513509378007,55.6490087699402
"236","BMW_2496","control","High",28086527.6923077,528.367846153846,630.562820512821,33.4847948717949,40785.5379487179,0.219948717948718,17147.7430769231,1.82745128205128,376.930051282051,13.04,10,10,13.05,33,-33.505,25.7101270265602,14.8041550316901
